routeId,busNumber,routename,fee,activeStartTime,activeStopTime,busStopSpacing(time of trip)
4,04,Bến Thành - Cộng Hòa - Bến Xe An Sương,6000,05:30,20:30,50-55
1,01,Bến Thành - Bến Xe buýt Chợ Lớn,5000,05:00,20:30,35
5,05,Bến Xe buýt Chợ Lớn - Bến xe Biên Hòa,10000,05:00,17:50,100
3,03,Bến Thành - Thạnh Lộc,6000,04:55,20:45,55-65
6,06,Bến Xe Buýt Chợ Lớn - Đại học Nông Lâm,7000,04:55,20:30,70
7,07,Bến Xe Buýt Chợ Lớn - Gò vấp,6000,05:00,19:30,60-65
8,08,Bến Xe Buýt Quận 8 - Đại học Quốc Gia,7000,04:40,20:30,80-90
9,09,Bến Xe Buýt Chợ Lớn - Bình Chánh - Hưng Long,7000,05:25,19:10,70
12,101,Bến Xe Buýt Chợ Lớn - Chợ Tân Nhựt,6000,05:30,18:30,55
10,10,Đại học Quốc Gia - Bến xe Miền Tây,7000,05:00,18:45,80
11,100,Bến Xe Củ Chi - Cầu Tân Thái,6000,05:15,19:10,35
14,103,Bến Xe Buýt Chợ Lớn - Bến xe Ngã 4 Ga,6000,05:00,19:00,65-70
16,107,Bến xe Củ Chi - Bố Heo,6000,06:00,19:00,30
13,102,Bến Xe Buýt Sài Gòn - Nguyễn Văn Linh - Bến xe Miền Tây,7000,05:00,19:00,80
15,104,Bến xe An Sương - Đại học Nông Lâm,7000,04:40,20:00,75
21,123,Phú Mỹ Hưng (khi H) - Quận 1,15000,07:00,19:30,25-29
18,110,Hiệp Phước - Phước Lộc,7000,04:50,19:45,65
20,122,Bến xe An Sương - Tân Quy,6000,05:00,19:30,50
24,13,Bến Xe Buýt Sài Gòn - Bến xe Củ Chi,15000,04:30,20:00,80
23,126,Bến xe Củ Chi - Bình Mỹ,6000,05:00,18:50,40
22,124,Phú Mỹ Hưng (khu S) - Quận 1,15000,07:00,20:30,44-45
25,139,Bến xe Miền Tây - Khu Tái Định Cư Phú Mỹ,6000,04:45,19:00,60-70
27,140,Bến Xe Buýt Sài Gòn - Phạm Thế Hiển - Khu Dân Cư Phú Lợi,6000,05:00,19:00,60
28,141,Khu du lịch BCR - Long Trường - Khu chế xuất Linh Trung II,6000,05:00,19:15,65
26,14,Bến xe Miền Đông - 3/2 - Bến xe Miền Tây,6000,04:00,20:00,60
30,145,Bến Xe Buýt Chợ Lớn - Chợ Hiệp Thành,6000,05:00,19:30,70
32,148,Bến xe Miền Tây - Gò Vấp,6000,04:45,19:30,50-65
31,146,Bến Xe Miền Đông - Chợ Hiệp Thành,6000,05:00,19:00,65
37,152,Khu dân cư Trung Sơn - Bến Thành - Sân bay Tân Sơn Nhất,5000,05:15,18:45,50-55
34,15,Chợ Phú Định - Đầm Sen,6000,05:00,19:00,50
35,150,Bến xe buýt Chợ Lớn - Ngã 3 Tân Vạn,7000,04:30,21:00,80
36,151,Bến xe Miền Tây - Bến xe An Sương,6000,04:00,20:00,50
40,18,Bến Thành - Chợ Hiệp Thành,6000,05:00,20:30,75
38,16,Bến xe buýt Chợ Lớn - Bến xe buýt Tân Phú,6000,05:30,18:40,55
42,20,Bến Thành - Nhà Bè,6000,04:20,21:00,50
41,19,Bến Xe Buýt Sài Gòn - Khu Chế Xuất Linh Trung - Đại Học Quốc Gia,7000,05:00,20:15,80
43,22,Bến Xe buýt Quận 8 - Khu công nghiệp Lê Minh Xuân,6000,05:00,19:00,65
44,23,Bến xe buýt Chợ Lớn - Ngã 3 Giồng - Cầu Lớn,6000,05:00,19:30,75
50,29,Phà Cát Lái - Chợ nông sản Thủ Đức,6000,05:00,19:15,70
