routeId,stopSequence,stopId,distanceToNextStop
1,0,33,392
1,1,79,283
1,2,76,267
1,3,3691,137
1,4,2028,255
1,5,4223,610
1,6,120,206
1,7,121,223
1,8,122,281
1,9,123,243
1,10,124,415
1,11,125,289
1,12,126,392
1,13,127,113
1,14,128,231
1,15,129,221
1,16,130,229
1,17,131,180
1,18,134,307
1,19,132,317
1,20,14,271
1,21,136,270
1,22,133,347
1,23,135,195
1,24,137,76
1,25,138,358
1,26,139,276
1,27,8,0
10,0,538,52
10,1,7632,499
10,2,7651,1113
10,3,574,3652
10,4,1113,1707
10,5,410,4031
10,6,415,3368
10,7,420,2598
10,8,726,1408
10,9,727,826
10,10,568,586
10,11,95,1661
10,12,571,1039
10,13,434,2042
10,14,728,2078
10,15,115,884
10,16,725,0
100,0,496,92
100,1,2148,220
100,2,2149,324
100,3,2151,289
100,4,2150,524
100,5,2153,234
100,6,3019,302
100,7,3020,426
100,8,3021,395
100,9,3023,418
100,10,3025,355
100,11,3024,369
100,12,3026,314
100,13,3027,323
100,14,3028,481
100,15,3029,650
100,16,3030,570
100,17,3031,491
100,18,3032,426
100,19,3033,345
100,20,3034,432
100,21,3035,318
100,22,3036,447
100,23,3038,442
100,24,3039,509
100,25,3040,426
100,26,3041,735
100,27,3042,559
100,28,4421,30431
100,29,7212,0
101,0,1403,251
101,1,2890,321
101,2,2893,426
101,3,2895,224
101,4,2550,245
101,5,2541,302
101,6,7600,424
101,7,7599,485
101,8,2543,258
101,9,2545,204
101,10,2552,241
101,11,1768,324
101,12,2107,335
101,13,2110,175
101,14,594,199
101,15,593,452
101,16,595,167
101,17,596,324
101,18,597,262
101,19,598,338
101,20,599,534
101,21,7577,527
101,22,601,313
101,23,256,329
101,24,257,238
101,25,258,460
101,26,600,249
101,27,602,275
101,28,604,118
101,29,603,285
101,30,606,109
101,31,1719,202
101,32,1720,228
101,33,1301,237
101,34,1723,440
101,35,1724,110
101,36,3159,264
101,37,4337,412
101,38,2396,277
101,39,7293,290
101,40,7292,270
101,41,3574,321
101,42,3575,372
101,43,3576,266
101,44,3577,318
101,45,3578,345
101,46,3579,200
101,47,1570,162
101,48,1567,435
101,49,1571,231
101,50,1022,0
